รหัสหน่วยงาน,ชื่อหน่วยงาน,ตัวย่อหน่วย,ตัวย่อสังกัด
051512,หน่วยบัญชาการสงครามพิเศษทางเรือ,นสร.,กร.
0515121,กองบัญชาการ,บก.,นสร.กร.
0515122,กองร้อยกองบัญชาการ,ร้อย บก.,นสร.กร.
0515123,กรมรบพิเศษ,กรม รพศ.,นสร.กร.
05151231,กองรบพิเศษที่ 1,รพศ.1,กรม รพศ. นสร.กร.
05151232,กองรบพิเศษที่ 2,รพศ.2,กรม รพศ. นสร.กร.
05151233,กองรบพิเศษที่ 3,รพศ.3,กรม รพศ. นสร.กร.
05151234,กองส่งกำลังปฏิบัติการพิเศษ กรม รพศ. นสร.กร.,Null,Null
05151235,กองรบพิเศษที่ 4,รพศ.4,กรม รพศ. นสร.กร.
05151236,กองรบพิเศษที่ 5,รพศ.5,กรม รพศ. นสร.กร.
05151237,กองรบพิเศษที่ 6,รพศ.6,กรม รพศ. นสร.กร.
0515124,ศูนย์การฝึกสงครามพิเศษทางเรือ,ศฝ.สร.,นสร.กร.
0515125,กองสนับสนุน,กอง สน.,นสร.กร.
051513,กองการฝึกกองเรือยุทธการ,กฝร.,Null
0515131,กองบัญชาการ,บก.,กฝร.
0515132,กองการปกครอง,กปค.,กฝร.
0515133,กองพัฒนาและประเมินผลการฝึก,กพป.,กฝร.
0515134,กองฝึกเดินเรือและการเรือ,กฝด.,กฝร.
0515135,กองฝึกปฏิบัติการทางเรือ,กฝป.,กฝร.
0515136,กองฝึกการอาวุธ,กฝอ.,กฝร.
0515137,กองฝึกศูนย์ยุทธการและสื่อสาร,กฝย.,กฝร.
0515138,กองฝึกการช่างกลและป้องกันความเสียหาย,กฝล.,กฝร.
0515139,กองสนับสนุน,กอง สน.,กฝร.
051514,กองสนับสนุน,กอง สน.,กร.
0516,ทัพเรือภาคที่ 1,ทรภ.1,Null
05161,กองบัญชาการ,บก.,ทรภ.1
051611,แผนกธุรการ,บก.ทรภ.1,Null
051612,กองกำลังพล,กพ.,บก.ทรภ.1
051613,กองข่าว,ขว.,บก.ทรภ.1
051614,กองยุทธการ,ยก.,บก.ทรภ.1
051615,กองส่งกำลังบำรุง,กบ.,บก.ทรภ.1
051616,กองสื่อสาร,สส.,บก.ทรภ.1
051617,กองกิจการพลเรือน,กพร.,บก.ทรภ.1
051618,กองโครงการและงบประมาณ,คป.,บก.ทรภ.1
051619,กองพระธรรมนูญ,ธน.,บก.ทรภ.1
0516110,กองการเงิน,กง.,บก.ทรภ.1
05162,กองร้อยกองบัญชาการ,ร้อย.บก.,ทรภ.1
05163,กองเรือปฏิบัติการ,กปก.,ทรภ.1
05164,ฐานส่งกำลังบำรุงทหารเรือตราด,ฐตร.,ทรภ.1
0517,ทัพเรือภาคที่ 2,ทรภ.2,Null
05171,กองบัญชาการ,บก.,ทรภ.2
051711,แผนกธุรการ,บก.ทรภ.2,Null
051712,กองกำลังพล,กพ.,บก.ทรภ.2
051713,กองข่าว,ขว.,บก.ทรภ.2
051714,กองยุทธการ,ยก.,บก.ทรภ.2
051715,กองส่งกำลังบำรุง,กบ.,บก.ทรภ.2
051716,กองสื่อสาร,สส.,บก.ทรภ.2
051717,กองกิจการพลเรือน,กพร.,บก.ทรภ.2
051718,กองโครงการและงบประมาณ,คป.,บก.ทรภ.2
051719,กองพระธรรมนูญ,ธน.,บก.ทรภ.2
0517110,กองการเงิน,กง.,บก.ทรภ.2
05172,กองร้อยกองบัญชาการ,ร้อย.บก.,ทรภ.2
05173,กองเรือปฏิบัติการ,กปก.,ทรภ.2
05174,ฐานทัพเรือสงขลา,ฐท.สข.,ทรภ.2
051741,กองบัญชาการ,บก.,ฐท.สข.ทรภ.2
051742,กองพลาธิการ,พธ.,ฐท.สข.ทรภ.2
051743,กองขนส่ง,กขส.,ฐท.สข.ทรภ.2
051744,กองโรงงาน,กรง.,ฐท.สข.ทรภ.2
051745,โรงพยาบาล,รพ.,ฐท.สข.ทรภ.2
051746,กองกิจการพิเศษ,กกพศ.,ฐท.สข.ทรภ.2
051747,สถานีสื่อสาร,สสส.,ฐท.สข.ทรภ.2
051748,เรือนจำ,รจ.,ฐท.สข.ทรภ.2
051749,สถานีการบิน,สนบ.,ฐท.สข.ทรภ.2
0517410,แผนกสรรพาวุธ ฐท.สข.ทรภ.2,Null,Null
0517411,สถานีเรือสมุย,สน.เรือสมุย,ฐท.สข.ทรภ.2
0518,ทัพเรือภาคที่ 3,ทรภ.3,Null
05181,กองบัญชาการ,บก.,ทรภ.3
051811,แผนกธุรการ บก.ทรภ.3,ทรภ.3,Null
051812,กองกำลังพล,กพ.,บก.ทรภ.3
051813,กองข่าว,ขว.,บก.ทรภ.3
051814,กองยุทธการ,ยก.,บก.ทรภ.3
051815,กองส่งกำลังบำรุง,กบ.,บก.ทรภ.3
051816,กองสื่อสาร,สส.,บก.ทรภ.3
051817,กองกิจการพลเรือน,กพร.,บก.ทรภ.3
051818,กองโครงการและงบประมาณ,คป.,บก.ทรภ.3
051819,กองพระธรรมนูญ,ธน.,บก.ทรภ.3
0518110,กองการเงิน,กง.,บก.ทรภ.3
05182,กองร้อยกองบัญชาการ,ร้อย.บก.,ทรภ.3
05183,กองเรือปฏิบัติการ,กปก.,ทรภ.3
05184,ฐานทัพเรือพังงา,ฐท.พง.,ทรภ.3
051841,กองบัญชาการ,บก.,ฐท.พง.ทรภ.3
051842,กองพลาธิการ,พธ.,ฐท.พง.ทรภ.3
051843,กองขนส่ง,กขส.,ฐท.พง.ทรภ.3
051844,กองโรงงาน,กรง.,ฐท.พง.ทรภ.3
051845,โรงพยาบาล,รพ.,ฐท.พง.ทรภ.3
051846,กองกิจการพิเศษ,กกพศ.,ฐท.พง.ทรภ.3
051847,สถานีสื่อสาร,สสส.,ฐท.พง.ทรภ.3
051848,เรือนจำ,รจ.,ฐท.พง.ทรภ.3
051849,สถานีการบิน,สนบ.,ฐท.พง.ทรภ.3
0518410,แผนกสรรพาวุธ ฐท.พง.ทรภ.3,ฐท.พง.ทรภ.3,Null
0518411,สถานีเรือละงู,สน.เรือละงู,ฐท.พง.ทรภ.3
05185,ศูนย์รักษาความปลอดภัยทางทะเล กองทัพเรือ ฝั่งอันดามัน,ศรภ.ทร.อม.,ศรภ.ทร.อม.
051851,กองบัญชาการ,บก.,ศรภ.ทร.อม.
0518511,ฝ่ายธุรการและกำลังพล,ฝธก.กพ.,ศรภ.ทร.อม.
0518512,ฝ่ายข่าว,ฝขว.,ศรภ.ทร.อม.
0518513,ฝ่ายยุทธการ,ฝยก.,ศรภ.ทร.อม.
0518514,ฝ่ายส่งกำลังบำรุง,ฝกบ.,ศรภ.ทร.อม.
0518515,ฝ่ายสื่อสาร,ฝสส.,ศรภ.ทร.อม.
0518516,ฝ่ายกิจการพลเรือน,ฝกร.,ศรภ.ทร.อม.
0518517,ฝ่ายงบประมาณ,ฝงป.,ศรภ.ทร.อม.
051852,หน่วยรักษาความปลอดภัยทางทะเล กองทัพเรือ เกาะภูเก็ต,นรภ.ก.ภูเก็ต,ศรภ.ทร.อม.
051853,หน่วยรักษาความปลอดภัยทางทะเล กองทัพเรือ เกาะหลีเป๊ะ,นรภ.ก.หลีเป๊ะ,ศรภ.ทร.อม.
051854,หน่วยรักษาความปลอดภัยทางทะเล กองทัพเรือ เกาะลันตาน้อย,นรภ.ก.ลันตาน้อย,ศรภ.ทร.อม.
051855,หน่วยรักษาความปลอดภัยทางทะเล กองทัพเรือ เกาะสิมิลัน,นรภ.ก.สิมิลัน,ศรภ.ทร.อม.
051856,หน่วยรักษาความปลอดภัยทางทะเล กองทัพเรือ เกาะสุรินทร์,นรภ.ก.สุรินทร์,ศรภ.ทร.อม.
051857,หน่วยบรรเทาสาธารณภัย กองทัพเรือ,นภบ.ทร.,ศรภ.ทร.อม.
05186,หน่วยปฏิบัติการทะเลอันดามัน,นปอ.,Null
0521,ฐานทัพเรือสัตหีบ,ฐท.สส.,Null
05211,กองบัญชาการ,บก.,ฐท.สส.
05212,กองขนส่ง,กขส.,ฐท.สส.
05213,กรมโรงงาน,กรง.,ฐท.สส.
05214,กองช่างโยธา,กชธ.,ฐท.สส.
05215,การท่าเรือสัตหีบ,กทส.,ฐท.สส.
05216,โรงพยาบาลอาภากรเกียรติวงศ์,รพ.อาภากรเกียรติวงศ์,ฐท.สส.
05217,กองกิจการพิเศษ,กกพศ.,ฐท.สส.
05218,กองอสังหาริมทรัพย์,กอท.,ฐท.สส.
05219,สถานีสื่อสาร,สสส.,ฐท.สส.
052110,สถานีตรวจสอบและลบล้างแม่เหล็กเรือ,สตลม.,ฐท.สส.
052111,เรือนจำ,รจ.,ฐท.สส.
052112,กรมก่อสร้างและพัฒนา,กรม กสพ.,ฐท.สส.
0521121,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,กรม กสพ.ฐท.สส.
0521122,กองพันก่อสร้างและพัฒนาที่ 1,พัน.กสพ.1,กรม กสพ.ฐท.สส.
0521123,กองพันก่อสร้างและพัฒนาที่ 2,พัน.กสพ.2,กรม กสพ.ฐท.สส.
0521124,กองร้อยช่างใต้น้ำ กรม กสพ.ฐท.สส.,Null,Null
052113,สำนักงานควบคุมบ้านพักส่วนกลาง พื้นที่สัตหีบ,Null,Null
0522,ฐานทัพเรือกรุงเทพ,ฐท.กท.,Null
05221,กองบัญชาการ,บก.,ฐท.กท.
05222,ป้อมพระจุลจอมเกล้า,ปจปร.,ฐท.กท.
05223,กองขนส่ง,กขส.,ฐท.กท.
05224,กองกิจการพิเศษ,กกพศ.,ฐท.กท.
05225,สถานีสื่อสาร,สสส.,ฐท.กท.
05226,เรือนจำ,รจ.,ฐท.กท.
05227,กองดุริยางค์ทหารเรือ,ดย.ทร.,ฐท.กท.
0523,กรมสารวัตรทหารเรือ,กรม สห.ทร.,Null
05231,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,กรม สห.ทร.
05232,กองพันสารวัตรทหารเรือที่ 1,พัน.สห.ทร.ที่ 1,กรม สห.ทร.
05233,กองพันสารวัตรทหารเรือที่ 2,พัน.สห.ทร.ที่ 2,กรม สห.ทร.
05234,กองพันสารวัตรทหารเรือที่ 3,พัน.สห.ทร.ที่ 3,กรม สห.ทร.
05235,กองพันสารวัตรทหารเรือที่ 4,พัน.สห.ทร.ที่ 4,กรม สห.ทร.
0519,หน่วยบัญชาการนาวิกโยธิน,นย.,Null
05191,กองบัญชาการ,บก.,นย.
051911,กองกำลังพล,กพ.,นย.
051912,กองข่าว,ขว.,นย.
051913,กองยุทธการ,ยก.,นย.
051914,กองส่งกำลังบำรุง,กบ.,นย.
051915,กองกิจการพลเรือน,กพร.,นย.
051916,กองโครงการและงบประมาณ,คป.,นย.
051917,กองการเงิน,กง.,นย.
051918,ฝ่ายพลาธิการ,ฝ่าย พธ.,นย.
051919,ฝ่ายการสื่อสารและอิเล็กทรอนิกส์,ฝ่าย สส.อล.,นย.
0519110,ฝ่ายพระธรรมนูญ,ฝ่าย ธน.,นย.
0519111,ฝ่ายการจเร,ฝ่าย จร.,นย.
0519112,ฝ่ายสารวัตร,ฝ่าย สห.,นย.
0519113,ฝ่ายอนุศาสนาจารย์,ฝ่าย อศจ.,นย.
0519114,ฝ่ายสรรพาวุธ,ฝ่าย สพ.,นย.
0519115,ฝ่ายกรรมวิธีข้อมูล,ฝ่าย กม.,นย.
0519116,ฝ่ายการแพทย์,ฝ่าย พ.,นย.
0519117,ฝ่ายควบคุมการขึ้นสู่เรือ,ฝ่าย กขร.,นย.
0519118,ฝ่ายทหารขนส่ง,ฝ่าย ขส.,นย.
0519119,กองพันกองบังคับการและบริการ,พัน.บก.และบริการ,นย.
05192,กองพลนาวิกโยธิน,พล.นย.,Null
051921,กองบัญชาการ,บก.,พล.นย.
051922,กองร้อยกองบัญชาการ,ร้อย.บก.,พล.นย.
051923,กรมทหารราบที่ 1,กรม ร.1,พล.นย.
0519231,กองบังคับการ,บก.,กรม ร.1 พล.นย.
0519232,กองร้อยกองบังคับการ,ร้อย.บก.,กรม ร.1 พล.นย.
0519233,กองพันทหารราบที่ 1 รักษาพระองค์,พัน.ร.1 รอ.,กรม ร.1 พล.นย.
0519234,กองพันทหารราบที่ 2,พัน.ร.2,กรม ร.1 พล.นย.
0519235,กองพันทหารราบที่ 3,พัน.ร.3,กรม ร.1 พล.นย.
051924,กรมทหารราบที่ 2,กรม ร.2,พล.นย.
0519241,กองบังคับการ,บก.,กรม ร.2 พล.นย.
0519242,กองร้อยกองบังคับการ,ร้อย.บก.,กรม ร.2 พล.นย.
0519243,กองพันทหารราบที่ 4,พัน.ร.4,กรม ร.2 พล.นย.
0519244,กองพันทหารราบที่ 5,พัน.ร.5,กรม ร.2 พล.นย.
0519245,กองพันทหารราบที่ 6,พัน.ร.6,กรม ร.2 พล.นย.
051925,กรมทหารราบที่ 3,กรม ร.3,พล.นย.
0519251,กองบังคับการ,บก.,กรม ร.3 พล.นย.
0519252,กองร้อยกองบังคับการ,ร้อย.บก.,กรม ร.3 พล.นย.
0519253,กองพันทหารราบที่ 7,พัน.ร.7,กรม ร.3 พล.นย.
0519254,กองพันทหารราบที่ 8,พัน.ร.8,กรม ร.3 พล.นย.
0519255,กองพันทหารราบที่ 9 รักษาพระองค์,พัน.ร.9 รอ.,กรม ร.3 พล.นย.
051926,กรมทหารปืนใหญ่,กรม ป.,พล.นย.
0519261,กองบังคับการ,บก.,กรม ป. พล.นย.
0519262,กองร้อยกองบังคับการ,ร้อย.บก.,กรม ป. พล.นย.
0519263,กองพันทหารปืนใหญ่เบากระสุนวิถีโค้งที่ 1,พัน.ปบค.1,กรม ป. พล.นย.
0519264,กองพันทหารปืนใหญ่เบากระสุนวิถีโค้งที่ 2,พัน.ปบค.2,กรม ป. พล.นย.
0519265,กองพันทหารปืนใหญ่ต่อสู้อากาศยาน,พัน.ปตอ.,กรม ป. พล.นย.
0519266,กองพันทหารปืนใหญ่กลางกระสุนวิถีโค้ง,พัน.ปกค.,กรม ป. พล.นย.
0519267,กองร้อยทหารปืนใหญ่ค้นหาเป้าหมาย,ร้อย.ป.คปม.,กรม ป. พล.นย.
051927,กรมสนับสนุน,กรม สน.,พล.นย.
0519271,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,กรม สน. พล.นย.
0519272,กองพันซ่อมบำรุง,พัน.ซบร.,กรม สน. พล.นย.
0519273,กองพันทหารขนส่ง,พัน.ขส.,กรม สน. พล.นย.
0519274,กองพันพยาบาล,พัน.พ.,กรม สน. พล.นย.
0519275,กองร้อยส่งกำลังและบริการ,ร้อย.สล.และบริการ,กรม สน. พล.นย.
0519276,กองร้อยสนับสนุนการยกพลขึ้นบก,ร้อย.สนยบ.,กรม สน. พล.นย.
051928,กองพันลาดตระเวน,พัน.ลว.,พล.นย.
051929,กองพันรถถัง,พัน.ถ.,พล.นย.
0519210,กองพันทหารช่าง,พัน.ช.,พล.นย.
0519211,กองพันทหารสื่อสาร,พัน.ส.,พล.นย.
0519212,กองพันรถสะเทินน้ำสะเทินบก,พัน.รนบ.,พล.นย.
0519213,กองร้อยสารวัตร,ร้อย.สห.,พล.นย.
05193,ศูนย์การฝึก,ศฝ.,นย.
051931,กองบัญชาการ,บก.,ศฝ.นย.
051932,โรงเรียนทหารนาวิกโยธิน,รร.นย.,ศฝ.นย.
051933,กองการฝึกพลทหาร,กฝท.,ศฝ.นย.
0519331,กองพันฝึกที่ 1,พัน.ฝ.1,กฝท.ศฝ.นย.
0519332,กองพันฝึกที่ 2,พัน.ฝ.2,กฝท.ศฝ.นย.
051934,กองสนับสนุน,กอง สน.,ศฝ.นย.
05194,กรมรักษาความปลอดภัย,กรม รปภ.,นย.
051941,กองรักษาความปลอดภัย ฐานทัพเรือกรุงเทพ,กอง รปภ.ฐท.กท.,กรม รปภ.นย.
051942,กองรักษาความปลอดภัย กรมสรรพาวุธทหารเรือ,กอง รปภ.สพ.ทร.,กรม รปภ.นย.
051943,กองรักษาความปลอดภัย ฐานทัพเรือสัตหีบ,กอง รปภ.ฐท.สส.,กรม รปภ.นย.
051944,กองรักษาความปลอดภัย กองการบินทหารเรือ กองเรือยุทธการ,กอง รปภ.กบร.กร.,กรม รปภ.นย.
051945,กองรักษาความปลอดภัย ฐานทัพเรือสงขลา,กอง รปภ.ฐท.สข.,กรม รปภ.นย.
051946,กองรักษาความปลอดภัย ฐานทัพเรือพังงา,กอง รปภ.ฐท.พง.,กรม รปภ.นย.
05195,กรมทหารพราน,กรม ทพ.,นย.
051951,กองบังคับการ,บก.,กรม ทพ.นย.
051952,กองร้อยทหารพรานที่ 1,ร้อย.ทพ.1,กรม ทพ.นย.
051953,กองร้อยทหารพรานที่ 2,ร้อย.ทพ.2,กรม ทพ.นย.
051954,กองร้อยทหารพรานที่ 3,ร้อย.ทพ.3,กรม ทพ.นย.
051955,กองร้อยทหารพรานที่ 4,ร้อย.ทพ.4,กรม ทพ.นย.
051956,กองร้อยทหารพรานที่ 5,ร้อย.ทพ.5,กรม ทพ.นย.
051957,กองร้อยทหารพรานที่ 6,ร้อย.ทพ.6,กรม ทพ.นย.
051958,กองร้อยทหารพรานที่ 7,ร้อย.ทพ.7,กรม ทพ.นย.
051959,กองร้อยทหารพรานที่ 8,ร้อย.ทพ.8,กรม ทพ.นย.
0519510,กองร้อยทหารพรานที่ 9,ร้อย.ทพ.9,กรม ทพ.นย.
0519511,กองร้อยทหารพรานที่ 10,ร้อย.ทพ.10,กรม ทพ.นย.
0519512,กองร้อยทหารพรานที่ 11,ร้อย.ทพ.11,กรม ทพ.นย.
0519513,กองร้อยทหารพรานที่ 12,ร้อย.ทพ.12,กรม ทพ.นย.
0519514,กองร้อยทหารพรานที่ 13,ร้อย.ทพ.13,กรม ทพ.นย.
0519515,กองร้อยทหารพรานที่ 14,ร้อย.ทพ.14,กรม ทพ.นย.
0519516,กองร้อยทหารพรานที่ 15,ร้อย.ทพ.15,กรม ทพ.นย.
0519517,กองร้อยทหารพรานที่ 16,ร้อย.ทพ.16,กรม ทพ.นย.
0519518,หมวดทหารพรานหญิง,มว.ทพ.หญิง,กรม ทพ.นย.
05196,กองร้อยปฏิบัติการจิตวิทยา,ร้อย.ปจว.,นย.
05197,หน่วยเฉพาะกิจนาวิกโยธิน,ฉก.นย.,Null
051971,หน่วยเฉพาะกิจทหารพรานนาวิกโยธิน,ฉก.ทพ.นย.,Null
0519711,ชุดควบคุมทหารพรานนาวิกโยธินที่ 1,ชค.ทพ.นย.1,ฉก.ทพ.นย.
0519712,ชุดควบคุมทหารพรานนาวิกโยธินที่ 2 ชค.ทพ.นย..2,ฉก.ทพ.นย.,Null
0519713,ชุดควบคุมทหารพรานนาวิกโยธินที่ 3,ชค.ทพ.นย.3,ฉก.ทพ.นย.
0519714,ชุดควบคุมทหารพรานนาวิกโยธินที่ 4,ชค.ทพ.นย.4,ฉก.ทพ.นย.
0519715,ส่วนการฝึกและศึกษา ฉก.ทพ.นย.,Null,Null
0519716,ส่วนยิงสนับสนุน ฉก.ทพ.นย.,Null,Null
051972,ศูนย์ปฏิบัติการพิเศษ 61,ศปศ.61,Null
0520,หน่วยบัญชาการต่อสู้อากาศยานและรักษาฝั่ง,สอ.รฝ.,Null
05201,กองบัญชาการ,บก.,สอ.รฝ.
05202,กองร้อยกองบัญชาการ,ร้อย.บก.,สอ.รฝ.
05203,กรมต่อสู้อากาศยานที่ 1,กรม สอ.1,สอ.รฝ.
052031,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,กรม สอ.1 สอ.รฝ.
052032,กองพันต่อสู้อากาศยานที่ 11,พัน.สอ.11,กรม สอ.1 สอ.รฝ.
0520321,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,พัน.สอ.11
0520322,กองร้อยต่อสู้อากาศยานที่ 1,ร้อย.สอ.1,พัน.สอ.11 กรม สอ.1 สอ.รฝ.
0520323,กองร้อยต่อสู้อากาศยานที่ 2,ร้อย.สอ.2,พัน.สอ.11 กรม สอ.1 สอ.รฝ.
0520324,กองร้อยต่อสู้อากาศยานที่ 3,ร้อย.สอ.3,พัน.สอ.11 กรม สอ.1 สอ.รฝ.
0520325,กองร้อยป้องกัน,ร้อย.ป้องกัน,พัน.สอ.11 กรม สอ.1 สอ.รฝ.
052033,กองพันต่อสู้อากาศยานที่ 12,พัน.สอ.12,กรม สอ.1 สอ.รฝ.
0520331,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,พัน.สอ.12
0520332,กองร้อยต่อสู้อากาศยานที่ 1,ร้อย.สอ.1,พัน.สอ.12 กรม สอ.1 สอ.รฝ.
0520333,กองร้อยต่อสู้อากาศยานที่ 2,ร้อย.สอ.2,พัน.สอ.12 กรม สอ.1 สอ.รฝ.
0520334,กองร้อยต่อสู้อากาศยานที่ 3,ร้อย.สอ.3,พัน.สอ.12 กรม สอ.1 สอ.รฝ.
0520335,กองร้อยป้องกัน,ร้อย.ป้องกัน,พัน.สอ.12 กรม สอ.1 สอ.รฝ.
052034,กองพันต่อสู้อากาศยานที่ 13,พัน.สอ.13,กรม สอ.1 สอ.รฝ.
0520341,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,พัน.สอ.13
0520342,กองร้อยต่อสู้อากาศยานที่ 1,ร้อย.สอ.1,พัน.สอ.13 กรม สอ.1 สอ.รฝ.
0520343,กองร้อยต่อสู้อากาศยานที่ 2,ร้อย.สอ.2,พัน.สอ.13 กรม สอ.1 สอ.รฝ.
0520344,กองร้อยต่อสู้อากาศยานที่ 3,ร้อย.สอ.3,พัน.สอ.13 กรม สอ.1 สอ.รฝ.
0520345,กองร้อยต่อสู้อากาศยานที่ 4,ร้อย.สอ.4,พัน.สอ.13 กรม สอ.1 สอ.รฝ.
0520346,กองร้อยป้องกัน,ร้อย.ป้องกัน,พัน.สอ.13 กรม สอ.1 สอ.รฝ.
05204,กรมต่อสู้อากาศยานที่ 2,กรม สอ.2,สอ.รฝ.
052041,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,กรม สอ.2 สอ.รฝ.
052042,กองพันต่อสู้อากาศยานที่ 21,พัน.สอ.21,กรม สอ.2 สอ.รฝ.
0520421,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,พัน.สอ.21
0520422,กองร้อยต่อสู้อากาศยานที่ 1,ร้อย.สอ.1,พัน.สอ.21 กรม สอ.2 สอ.รฝ.
0520423,กองร้อยต่อสู้อากาศยานที่ 2,ร้อย.สอ.2,พัน.สอ.21 กรม สอ.2 สอ.รฝ.
0520424,กองร้อยต่อสู้อากาศยานที่ 3,ร้อย.สอ.3,พัน.สอ.21 กรม สอ.2 สอ.รฝ.
0520425,กองร้อยป้องกัน,ร้อย.ป้องกัน,พัน.สอ.21 กรม สอ.2 สอ.รฝ.
052043,กองพันต่อสู้อากาศยานที่ 22,พัน.สอ.22,กรม สอ.2 สอ.รฝ.
0520431,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,พัน.สอ.22
0520432,กองร้อยต่อสู้อากาศยานที่ 1,ร้อย.สอ.1,พัน.สอ.22 กรม สอ.2 สอ.รฝ.
0520433,กองร้อยต่อสู้อากาศยานที่ 2,ร้อย.สอ.2,พัน.สอ.22 กรม สอ.2 สอ.รฝ.
0520434,กองร้อยต่อสู้อากาศยานที่ 3,ร้อย.สอ.3,พัน.สอ.22 กรม สอ.2 สอ.รฝ.
0520435,กองร้อยป้องกัน,ร้อย.ป้องกัน,พัน.สอ.22 กรม สอ.2 สอ.รฝ.
052044,กองพันต่อสู้อากาศยานที่ 23,พัน.สอ.23,กรม สอ.2 สอ.รฝ.
0520441,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,พัน.สอ.23
0520442,กองร้อยต่อสู้อากาศยานที่ 1,ร้อย.สอ.1,พัน.สอ.23 กรม สอ.2 สอ.รฝ.
0520443,กองร้อยต่อสู้อากาศยานที่ 2,ร้อย.สอ.2,พัน.สอ.23 กรม สอ.2 สอ.รฝ.
0520444,กองร้อยต่อสู้อากาศยานที่ 3,ร้อย.สอ.3,พัน.สอ.23 กรม สอ.2 สอ.รฝ.
0520445,กองร้อยต่อสู้อากาศยานที่ 4,ร้อย.สอ.4,พัน.สอ.23 กรม สอ.2 สอ.รฝ.
0520446,กองร้อยป้องกัน,ร้อย.ป้องกัน,พัน.สอ.23 กรม สอ.2 สอ.รฝ.
05205,กรมรักษาฝั่งที่ 1,กรม รฝ.1,สอ.รฝ.
052051,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,กรม รฝ.1 สอ.รฝ.
052052,กองพันรักษาฝั่งที่ 11,พัน.รฝ.11,กรม รฝ.1 สอ.รฝ.
0520521,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,พัน.รฝ.11
0520522,กองร้อยรักษาฝั่งที่ 1,ร้อย.รฝ.1,พัน.รฝ.11 กรม รฝ.1 สอ.รฝ.
0520523,กองร้อยรักษาฝั่งที่ 2,ร้อย.รฝ.2,พัน.รฝ.11 กรม รฝ.1 สอ.รฝ.
0520524,กองร้อยรักษาฝั่งที่ 3,ร้อย.รฝ.3,พัน.รฝ.11 กรม รฝ.1 สอ.รฝ.
0520525,กองร้อยป้องกัน,ร้อย.ป้องกัน,พัน.รฝ.11 กรม รฝ.1 สอ.รฝ.
052053,กองพันรักษาฝั่งที่ 12,พัน.รฝ.12,กรม รฝ.1 สอ.รฝ.
0520531,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,พัน.รฝ.12
0520532,กองร้อยรักษาฝั่งที่ 1,ร้อย.รฝ.1,พัน.รฝ.12 กรม รฝ.1 สอ.รฝ.
0520533,กองร้อยรักษาฝั่งที่ 2,ร้อย.รฝ.2,พัน.รฝ.12 กรม รฝ.1 สอ.รฝ.
0520534,กองร้อยรักษาฝั่งที่ 3,ร้อย.รฝ.3,พัน.รฝ.12 กรม รฝ.1 สอ.รฝ.
