รหัสหน่วยงาน,ชื่อหน่วยงาน,ตัวย่อหน่วย,ตัวย่อสังกัด
0520535,กองร้อยป้องกัน,ร้อย.ป้องกัน,พัน.รฝ.12 กรม รฝ.1 สอ.รฝ.
052054,กองพันรักษาฝั่งที่ 13,พัน.รฝ.13,กรม รฝ.1 สอ.รฝ.
0520541,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,พัน.รฝ.13
0520542,กองร้อยรักษาฝั่งที่ 1,ร้อย.รฝ.1,พัน.รฝ.13 กรม รฝ.1 สอ.รฝ.
0520543,กองร้อยรักษาฝั่งที่ 2,ร้อย.รฝ.2,พัน.รฝ.13 กรม รฝ.1 สอ.รฝ.
0520544,กองร้อยรักษาฝั่งที่ 3,ร้อย.รฝ.3,พัน.รฝ.13 กรม รฝ.1 สอ.รฝ.
0520545,กองร้อยรักษาฝั่งที่ 4,ร้อย.รฝ.4,พัน.รฝ.13 กรม รฝ.1 สอ.รฝ.
0520546,กองร้อยป้องกัน,ร้อย.ป้องกัน,พัน.รฝ.13 กรม รฝ.1 สอ.รฝ.
05206,ศูนย์ต่อสู้อากาศยานและรักษาฝั่ง,ศสร.,สอ.รฝ.
052061,กองบังคับการ,บก.,ศสร.สอ.รฝ.
052062,ศูนย์ต่อสู้อากาศยานและรักษาฝั่ง ประจำพื้นที่ 1,ศสรท.1,ศสร.สอ.รฝ.
0520621,หน่วยเรดาร์ตรวจการณ์ทางอากาศแบบเคลื่อนที่ ศสรท.1 ศสร.สอ.รฝ.,Null,Null
0520622,หน่วยเรดาร์ตรวจการณ์พื้นน้ำแบบเคลื่อนที่ ศสรท.1 ศสร.สอ.รฝ.,Null,Null
0520623,สถานีเรดาร์ตรวจการณ์ 1 ศสรท.1 ศสร.สอ.รฝ.,Null,Null
0520624,สถานีเรดาร์ตรวจการณ์ 2 ศสรท.1 ศสร.สอ.รฝ.,Null,Null
0520625,สถานีเรดาร์ตรวจการณ์ 3 ศสรท.1 ศสร.สอ.รฝ.,Null,Null
0520626,สถานีเรดาร์ตรวจการณ์ 4 ศสรท.1 ศสร.สอ.รฝ.,Null,Null
0520627,หน่วยค้นหาเป้าหมาย ศสรท.1 ศสร.สอ.รฝ.,Null,Null
0520628,กองร้อยป้องกัน,ร้อย.ป้องกัน,ศสรท.1 ศสร.สอ.รฝ.
052063,ศูนย์ต่อสู้อากาศยานและรักษาฝั่งประจำพื้นที่ 2,ศสรท.2,ศสร.สอ.รฝ.
0520631,หน่วยเรดาร์ตรวจการณ์ทางอากาศแบบเคลื่อนที่ ศสรท.2 ศสร.สอ.รฝ.,Null,Null
0520632,หน่วยเรดาร์ตรวจการณ์พื้นน้ำแบบเคลื่อนที่ ศสรท.2 ศสร.สอ.รฝ.,Null,Null
0520633,สถานีเรดาร์ตรวจการณ์ 1 ศสรท.2 ศสร.สอ.รฝ.,Null,Null
0520634,สถานีเรดาร์ตรวจการณ์ 2 ศสรท.2 ศสร.สอ.รฝ.,Null,Null
0520635,สถานีเรดาร์ตรวจการณ์ 3 ศสรท.2 ศสร.สอ.รฝ.,Null,Null
0520636,สถานีเรดาร์ตรวจการณ์ 4 ศสรท.2 ศสร.สอ.รฝ.,Null,Null
0520637,หน่วยค้นหาเป้าหมาย ศสรท.2 ศสร.สอ.รฝ.,Null,Null
0520638,กองร้อยป้องกัน,ร้อย.ป้องกัน,ศสรท.2 ศสร.สอ.รฝ.
052064,ศูนย์ต่อสู้อากาศยานและรักษาฝั่งประจำพื้นที่ 3,ศสรท.3,ศสร.สอ.รฝ.
0520641,หน่วยเรดาร์ตรวจการณ์ทางอากาศแบบเคลื่อนที่ ศสรท.3 ศสร.สอ.รฝ.,Null,Null
0520642,หน่วยเรดาร์ตรวจการณ์พื้นน้ำแบบเคลื่อนที่ ศสรท.3 ศสร.สอ.รฝ.,Null,Null
0520643,สถานีเรดาร์ตรวจการณ์ 1 ศสรท.3 ศสร.สอ.รฝ.,Null,Null
0520644,สถานีเรดาร์ตรวจการณ์ 2 ศสรท.3 ศสร.สอ.รฝ.,Null,Null
0520645,สถานีเรดาร์ตรวจการณ์ 3 ศสรท.3 ศสร.สอ.รฝ.,Null,Null
0520646,สถานีเรดาร์ตรวจการณ์ 4 ศสรท.3 ศสร.สอ.รฝ.,Null,Null
0520647,หน่วยค้นหาเป้าหมาย ศสรท.3 ศสร.สอ.รฝ.,Null,Null
0520648,กองร้อยป้องกัน,ร้อย.ป้องกัน,ศสรท.3 ศสร.สอ.รฝ.
05207,กรมสนับสนุน,กรม สน.,สอ.รฝ.
052071,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,กรม สน.สอ.รฝ.
052072,กองร้อยส่งกำลังและบริการ,ร้อย.สล.และบริการ,กรม สน.สอ.รฝ.
052073,กองพันขนส่ง,พัน.ขส.,กรม สน.สอ.รฝ.
0520731,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,พัน.ขส. กรม สน.สอ.รฝ.
0520732,กองร้อยขนส่งที่ 1,ร้อย.ขส.1,พัน.ขส.กรม สน.สอ.รฝ.
0520733,กองร้อยขนส่งที่ 2,ร้อย.ขส.2,พัน.ขส.กรม สน.สอ.รฝ.
0520734,กองร้อยขนส่งที่ 3,ร้อย.ขส.3,พัน.ขส.กรม สน.สอ.รฝ.
052074,กองพันสื่อสารและอิเล็กทรอนิกส์,พัน.สอล.,กรม สน.สอ.รฝ.
0520741,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,พัน.สอล. กรม สน.สอ.รฝ.
0520742,กองร้อยสื่อสารและอิเล็กทรอนิกส์ที่ 1,ร้อยสอล.1,พัน.สอล.กรม สนสอ.รฝ.
0520743,กองร้อยสื่อสารและอิเล็กทรอนิกส์ที่ 2,ร้อย.สอล.2,พัน.สอล.กรม สนสอ.รฝ.
0520744,กองร้อยสื่อสารและอิเล็กทรอนิกส์ที่ 3,ร้อย.สอล.3,พัน.สอล.กรมสนสอ.รฝ.
052075,กองพันซ่อมบำรุง,พัน.ซบร.,กรม สน.สอ.รฝ.
0520751,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,พัน.ซบร. กรม สน.สอ.รฝ.
0520752,กองร้อยซ่อมบำรุงที่ 1 พัน.ซบร.กรม สน.สอ.รฝ.,Null,Null
0520753,กองร้อยซ่อมบำรุงที่ 2 พัน.ซบร.กรม สน.สอ.รฝ.,Null,Null
0520754,กองร้อยซ่อมบำรุงที่ 3 พัน.ซบร.กรม สน.สอ.รฝ.,Null,Null
052076,กองพันพยาบาล,พัน.พ.,กรม สน.สอ.รฝ.
0520761,กองบังคับการ,บก.,และกองร้อยกองบังคับการ,ร้อย.บก.,พัน.พ. กรม สน.สอ.รฝ.
0520762,กองร้อยพยาบาลสนับสนุน,ร้อย.พ.สนับสนุน,พัน.พ.กรม สน.สอ.รฝ.
0520763,กองร้อยพยาบาลที่ 1,ร้อย.พ.1,พัน.พ.กรม สน.สอ.รฝ.
0520764,กองร้อยพยาบาลที่ 2,ร้อย.พ.2,พัน.พ.กรม สน.สอ.รฝ.
0520765,กองร้อยพยาบาลที่ 3,ร้อย.พ.3,พัน.พ.กรม สน.สอ.รฝ.
05208,ศูนย์การฝึก,ศฝ.,สอ.รฝ.
052081,กองบังคับการ,บก.,ศฝ.สอ.รฝ.
052082,โรงเรียนทหารต่อสู้อากาศยานและรักษาฝั่ง,รร.สอ.รฝ.,ศฝ.สอ.รฝ.
0520821,แผนกการศึกษา รร.สอ.รฝ.ศฝ.สอ.รฝ.,Null,Null
0520822,แผนกการปกครอง รร.สอ.รฝ.ศฝ.สอ.รฝ.,Null,Null
052083,กองการฝึกพลทหาร,กฝท.,ศฝ.สอ.รฝ.
0520831,กองพันฝึกที่ 1,พัน.ฝ.1,กฝท.ศฝ.สอ.รฝ.
0520832,กองพันฝึกที่ 2,พัน.ฝ.2,กฝท.ศฝ.สอ.รฝ.
0520833,กองพันฝึกที่ 3,พัน.ฝ.3,กฝท.ศฝ.สอ.รฝ.
052084,แผนกสนับสนุน ศฝ.สอ.รฝ.,Null,Null
052085,กองฝึกช่วยเหลือด้านมนุษยธรรมและบรรเทาสาธารณภัยทางทะเลและชายฝั่ง ศฝ.สอ.รฝ.,Null,Null
05209,หน่วยปฏิบัติการเกาะกูด,นปก.,Null
052010,หน่วยเฉพาะกิจ 321,ฉก.321,Null
052011,หน่วยเฉพาะกิจ สอ.รฝ.412,ฉก.สอ.รฝ.412,Null
052012,หน่วยปฏิบัติการ สอ.รฝ.451,นป.สอ.รฝ.451,Null
052013,หน่วยปฏิบัติการ สอ.รฝ.452,นป.สอ.รฝ.452,Null
052014,หน่วยเฝ้าตรวจและรายงานการเคลื่อนตัวของคลื่นเกาะเมียง,นตค.ก.เมียง,Null
052015,หน่วยปฏิบัติการ สอ.รฝ.491,นป.สอ.รฝ.491,Null
052016,โรงเรียนวิวัฒน์พลเมือง ทร.2 สอ.รฝ.,Null,Null
052017,ศูนย์อนุรักษ์พันธุ์เต่าทะเล สอ.รฝ. กองทัพเรือ,Null,Null
052018,คณะกรรมการเจ้าของที่ดินบริเวณตำบลบางพระ และตำบลหนองขาม อำเภอศรีราชา จังหวัดชลบุรี,กจพข.,Null
0524,กรมอู่ทหารเรือ,อร.,Null
05241,กองบังคับการ,บก.,อร.
052411,กองธุรการ,ธก.,บก.อร.
052412,กองกำลังพล,กพ.,บก.อร.
052413,กองส่งกำลังบำรุง,กบ.,บก.อร.
052414,กองโครงการและงบประมาณ,คป.,บก.อร.
052415,กองการจัด,กจก.,บก.อร.
052416,กองการเงิน,กง.,บก.อร.
052417,แผนกพระธรรมนูญ บก.อร.,Null,Null
05242,กรมแผนการช่าง,กผช.,อร.
052421,แผนกธุรการ กผช.อร.,Null,Null
052422,กองแผนงานฝ่ายเรือ,กผงร.,กผช.อร.
0524221,แผนกควบคุมและประมาณการ กผงร.กผช.อร.,Null,Null
0524222,แผนกสำรวจและตรวจสอบ กผงร.กผช.อร.,Null,Null
0524223,แผนกวางแผนซ่อมเรือ กผงร.กผช.อร.,Null,Null
0524224,แผนกวางแผนสร้างเรือ กผงร.กผช.อร.,Null,Null
0524225,แผนกวางแผนดัดแปลงและปรับปรุงเรือ กผงร.กผช.อร.,Null,Null
052423,กองออกแบบกลจักร,กอจ.,กผช.อร.
0524231,แผนกออกแบบเครื่องต้นกำลังขับ กอจ.กผช.อร.,Null,Null
0524232,แผนกออกแบบเครื่องกล กอจ.กผช.อร.,Null,Null
0524233,แผนกออกแบบเครื่องเย็นระบายและปรับอากาศ กอจ.กผช.อร.,Null,Null
052424,กองออกแบบต่อเรือ,กอร.,กผช.อร.
0524241,แผนกออกแบบโครงสร้างตัวเรือ กอร.กผช.อร.,Null,Null
0524242,แผนกออกแบบผังเรือ กอร.กผช.อร.,Null,Null
0524243,แผนกออกแบบเครื่องประกอบเรือ กอร.กผช.อร.,Null,Null
052425,กองออกแบบไฟฟ้า,กอฟ.,กผช.อร.
0524251,แผนกออกแบบไฟฟ้ากำลังและแสงสว่าง กอฟ.กผช.อร.,Null,Null
0524252,แผนกออกแบบไฟฟ้าระบบอาวุธและบังคับเรือ กอฟ.กผช.อร.,Null,Null
0524253,แผนกวิทยาศาสตร์การไฟฟ้า กอฟ.กผช.อร.,Null,Null
05243,กรมพัฒนาการช่าง,กพช.,อร.
052431,แผนกธุรการ กพช.อร.,Null,Null
052432,กองการศึกษา,กศษ.,กพช.อร.
0524321,ศูนย์พัฒนาอาชีพช่าง กศษ.กพช.อร.,Null,Null
0524322,โรงเรียนช่างกรมอู่ทหารเรือ,รร.ชอร.,กศษ.กพช.อร.
0524323,แผนกเครื่องช่วยการศึกษา กศษ.กพช.อร.,Null,Null
052433,กองวิจัยและพัฒนา,กวจพ.,กพช.อร.
0524331,แผนกวิชาการ กวจพ.กพช.อร.,Null,Null
0524332,แผนกวิจัย กวจพ.กพช.อร.,Null,Null
0524333,แผนกห้องสมุด กวจพ.กพช.อร.,Null,Null
052434,กองควบคุมคุณภาพ,กคภ.,กพช.อร.
0524341,แผนกวิเคราะห์งานช่าง กคภ.กพช.อร.,Null,Null
0524342,แผนกทดสอบวัสดุ กคภ.กพช.อร.,Null,Null
0524343,แผนกทดสอบเครื่องวัด กคภ.กพช.อร.,Null,Null
05244,อู่ทหารเรือธนบุรี,อธบ.,อร.
052441,แผนกธุรการ อธบ.อร.,Null,Null
052442,กองแผนและประมาณการช่าง,กผป.,อธบ.อร.
0524421,แผนกสำรวจและตรวจสอบ กผป.อธบ.อร.,Null,Null
0524422,แผนกแผนงาน กผป.อธบ.อร.,Null,Null
0524423,แผนกออกแบบและทดลองเรือ กผป.อธบ.อร.,Null,Null
0524424,แผนกพัสดุช่าง กผป.อธบ.อร.,Null,Null
052443,กองโรงงาน,กงน.,อธบ.อร.
0524431,แผนกโรงงานเครื่องกล กงน.อธบ.อร.,Null,Null
0524432,แผนกโรงงานเรือเหล็ก กงน.อธบ.อร.,Null,Null
0524433,แผนกโรงงานไฟฟ้า กงน.อธบ.อร.,Null,Null
0524434,แผนกโรงงานเบ็ดเตล็ด กงน.อธบ.อร.,Null,Null
05245,อู่ทหารเรือพระจุลจอมเกล้า,อจปร.,อร.
052451,กองบังคับการ,บก.,อจปร.อร.
0524511,กองธุรการ,ธก.,บก.อจปร.อร.
0524512,กองกำลังพล,กพ.,บก.อจปร.อร.
0524513,กองโครงการและงบประมาณ,คป.,บก.อจปร.อร.
0524514,กองการเงิน,กง.,บก.อจปร.อร.
0524515,กองพัฒนาการบริหาร,กพ.,บก.อจปร.อร.
052452,กองแผนและประมาณการช่าง,กผป.,อจปร.อร.
052453,กองออกแบบ,กอบ.,อจปร.อร.
052454,กองพัสดุช่าง,กพด.,อจปร.อร.
052455,กองควบคุมคุณภาพ,กคภ.,อจปร.อร.
052456,กองบริหารงานซ่อมสร้าง,กซส.,อจปร.อร.
052457,กองโรงงานเครื่องกล,กรก.,อจปร.อร.
052458,กองโรงงานเรือเหล็ก,กรล.,อจปร.อร.
052459,กองโรงงานเบ็ดเตล็ด,กบต.,อจปร.อร.
0524510,กองโรงงานไฟฟ้า,กฟฟ.,อจปร.อร.
0524511,กองสนับสนุน,กสน.,อจปร.อร.
05246,ศูนย์พัสดุช่าง,ศพด.,อร.
052461,แผนกสำรวจและตรวจสอบ ศพด.อร.,Null,Null
052462,แผนกเทคนิค ศพด.อร.,Null,Null
052463,แผนกควบคุม ศพด.อร.,Null,Null
052464,แผนกจัดหา ศพด.อร.,Null,Null
052465,แผนกพัสดุ ศพด.อร.,Null,Null
05247,อู่ราชนาวีมหิดลอดุลยเดช,อรม.,อร.
052471,กองบังคับการ,บก.,อรม.อร.
0524711,กองการจัด,กจก.,บก.อรม.อร.
0524712,กองกำลังพล,กพ.,บก.อรม.อร.
0524713,กองส่งกำลังบำรุง,กบ.,บก.อรม.อร.
0524714,กองการเงิน,กง.,บก.อรม.อร.
0524715,แผนกพระธรรมนูญ บก.อรม.อร.,Null,Null
052472,กองแผนและประมาณการช่าง,กผป.,อรม.อร.
052473,กองควบคุมคุณภาพ,กคภ.,อรม.อร.
052474,กองโรงงานเครื่องกล,กรก.,อรม.อร.
052475,กองโรงงานเรือเหล็ก,กรล.,อรม.อร.
052476,กองโรงงานไฟฟ้า,กฟฟ.,อรม.อร.
052477,กองสนับสนุน,กอง สน.,อรม.อร.
052478,กองพัสดุช่าง,กพด.,อรม.อร.
0525,กรมอิเล็กทรอนิกส์ทหารเรือ,อล.ทร.,Null
05251,กองบังคับการ,บก.,อล.ทร.
052511,กองกำลังพลและธุรการ,กพ.,อล.ทร.
0525111,แผนกธุรการ กพ.อล.ทร.,Null,Null
0525112,แผนกกำลังพล กพ.อล.ทร.,Null,Null
0525113,แผนกจัดการ กพ.อล.ทร.,Null,Null
052512,กองส่งกำลังบำรุง,กบ.,อล.ทร.
0525121,แผนกโครงการและงบประมาณ กบ.อล.ทร.,Null,Null
0525122,แผนกส่งกำลัง กบ.อล.ทร.,Null,Null
0525123,แผนกสนับสนุน กบ.อล.ทร.,Null,Null
052513,กองการเงิน,กง.,บก.อล.ทร.
052514,แผนกพระธรรมนูญ บก.อล.ทร.,Null,Null
05252,กองแผนการช่าง,กผกช.,อล.ทร.
052521,แผนกแผนงาน กผกช.อล.ทร.,Null,Null
052522,แผนกสำรวจ ตรวจสอบ และออกแบบ กผกช.อล.ทร.,Null,Null
052523,แผนกควบคุมและประมาณราคา กผกช.อล.ทร.,Null,Null
05253,กองวิทยาการ,กวก.,อล.ทร.
052531,แผนกแผนและโครงการ กวก.อล.ทร.,Null,Null
052532,แผนกวิทยาการ กวก.อล.ทร.,Null,Null
052533,โรงเรียนอิเล็กทรอนิกส์,รร.อล.,กวก.อล.ทร.
052534,แผนกบริการ กวก.อล.ทร.,Null,Null
05254,กองโรงงานอิเล็กทรอนิกส์ที่ 1,กอล.1,อล.ทร.
052541,แผนกเครื่องสื่อสาร กอล.1 อล.ทร.,Null,Null
052542,แผนกเครื่องประมวลแสดงผลและเครือข่าย กอล.1 อล.ทร.,Null,Null
052543,แผนกเครื่องมือวัด กอล.1 อล.ทร.,Null,Null
052544,แผนกอุปกรณ์สนับสนุน กอล.1 อล.ทร.,Null,Null
052545,แผนกเครื่องโทรศัพท์ กอล.1 อล.ทร.,Null,Null
05255,กองโรงงานอิเล็กทรอนิกส์ที่ 2,กอล.2,อล.ทร.
052551,แผนกเครื่องสื่อสาร กอล.2 อล.ทร.,Null,Null
052552,แผนกเครื่องเรดาร์ กอล.2 อล.ทร.,Null,Null
052553,แผนกเครื่องเสียงใต้น้ำ กอล.2 อล.ทร.,Null,Null
052554,แผนกเครื่องประมวลแสดงผลและเครือข่าย กอล.2 อล.ทร.,Null,Null
052555,แผนกเครื่องมือวัด กอล.2 อล.ทร.,Null,Null
052556,แผนกเครื่องมือเดินเรือ กอล.2 อล.ทร.,Null,Null
052557,แผนกเครื่องควบคุมเครื่องจักร กอล.2 อล.ทร.,Null,Null
052558,แผนกอุปกรณ์สนับสนุน กอล.2 อล.ทร.,Null,Null
052559,แผนกอุปกรณ์จ่ายไฟอิเล็กทรอนิกส์ กอล.2 อล.ทร.,Null,Null
05256,กองโรงงานอิเล็กทรอนิกส์ที่ 3,กอล.3,อล.ทร.
052561,แผนกเครื่องสื่อสาร กอล.3 อล.ทร.,Null,Null
052562,แผนกเครื่องเรดาร์ กอล.3 อล.ทร.,Null,Null
052563,แผนกเครื่องเสียงใต้น้ำ กอล.3 อล.ทร.,Null,Null
052564,แผนกเครื่องประมวลแสดงผลและเครือข่าย กอล.3 อล.ทร.,Null,Null
052565,แผนกเครื่องมือวัด กอล.3 อล.ทร.,Null,Null
052566,แผนกเครื่องมือเดินเรือ กอล.3 อล.ทร.,Null,Null
052567,แผนกเครื่องควบคุมเครื่องจักร กอล.3 อล.ทร.,Null,Null
052568,แผนกอุปกรณ์สนับสนุน กอล.3 อล.ทร.,Null,Null
052569,แผนกอุปกรณ์จ่ายไฟอิเล็กทรอนิกส์ กอล.3 อล.ทร.,Null,Null
0525610,แผนกเครื่องโทรศัพท์ กอล.3 อล.ทร.,Null,Null
05257,กองควบคุมคุณภาพ,กคภ.,อล.ทร.
052571,แผนกเทคนิคการตรวจวัด กคภ.อล.ทร.,Null,Null
052572,แผนกตรวจสอบและประเมินผล กคภ.อล.ทร.,Null,Null
05258,กองพัสดุ,กพสด.,อล.ทร.
052581,แผนกจัดหา กพสด.อล.ทร.,Null,Null
052582,แผนกตรวจรับ กพสด.อล.ทร.,Null,Null
052583,แผนกคลัง กพสด.อล.ทร.,Null,Null
0526,กรมช่างโยธาทหารเรือ,ชย.ทร.,Null
05261,กองบังคับการ,บก.,ชย.ทร.
052611,กองกำลังพลและธุรการ,กพ.,บก.ชย.ทร.
052612,แผนกการเงิน บก.ชย.ทร.,Null,Null
052613,แผนกพระธรรมนูญ บก.ชย.ทร.,Null,Null
05262,กองแผนและโครงการ,กผค.,ชย.ทร.
05263,กองบริหารงานช่าง,กงช.,ชย.ทร.
05264,กองออกแบบ,กอบ.,ชย.ทร.
05265,กองงานโยธา,กงย.,ชย.ทร.
05266,กองงานเครื่องกล,กงค.,ชย.ทร.
05267,กองงานไฟฟ้า,กงฟ.,ชย.ทร.
05268,กองการพัสดุ,กพสด.,ชย.ทร.
05269,กองวิทยาการ,กวก.,ชย.ทร.
0527,กรมสรรพาวุธทหารเรือ,สพ.ทร.,Null
05271,กองบังคับการ,บก.,สพ.ทร.
05272,ศูนย์ซ่อมสร้างสรรพาวุธ,ศชส.,สพ.ทร.
052721,กองบริหารงานซ่อมสร้าง,กบช.,ศชส.สพ.ทร.
052722,กองทดสอบสรรพาวุธ,กทว.,ศชส.สพ.ทร.
052723,กองโรงงานช่างแสง,กรช.,ศชส.สพ.ทร.
052724,กองโรงงานไฟฟ้าอาวุธ,กฟอ.,ศชส.สพ.ทร.
05273,กองอาวุธปล่อยนำวิถี,กอว.,สพ.ทร.
05274,กองอาวุธใต้น้ำ,กอน.,สพ.ทร.
05275,กองโรงงานผลิตลูกปืนและวัตถุระเบิด,กผร.,สพ.ทร.
05276,กองประดาน้ำและถอดทำลายอมภัณฑ์,กปถ.,สพ.ทร.
05277,กองสนับสนุน,กอง สน.,สพ.ทร.
05278,กองคลังสรรพาวุธ,กคส.,สพ.ทร.
052719,กองวิทยาการ,กวก.,สพ.ทร.
0528,กรมพลาธิการทหารเรือ,พธ.ทร.,Null
05281,กองบังคับการ,บก.,พธ.ทร.
05282,กองควบคุม,กคค.,พธ.ทร.
05283,กองการจัดหา,กจห.,พธ.ทร.
05284,กองการพัสดุทางทหารต่างประเทศ,กพทต.,พธ.ทร.
05285,กองโรงงาน,กงน.,พธ.ทร.
05286,กองตรวจรับ,กรร.,พธ.ทร.
05287,กองคลังพลาธิการ,กคพธ.,พธ.ทร.
05288,กองเชื้อเพลิง,กชพ.,พธ.ทร.
05289,กองการเงิน,กกง.,พธ.ทร.
052810,กองบริการ,กบก.,พธ.ทร.
052811,โรงเรียนพลาธิการ,รร.พธ.,พธ.ทร.
052812,ศูนย์บริหารข่าวสารการพัสดุ,ศบพ.,พธ.ทร.
052813,ศูนย์ส่งกำลัง,ศกล.,พธ.ทร.
0529,กรมแพทย์ทหารเรือ,พร.,Null
05291,กองบังคับการ,บก.,พร.
052911,แผนกธุรการ บก.พร.,Null,Null
052912,กองกำลังพล,กพ.,บก.พร.
052913,กองแผน,กผ.,บก.พร.
052914,กองโครงการและงบประมาณ,คป.,บก.พร.
052915,กองส่งกำลังบำรุง,กบ.,บก.พร.
05292,กองการเงิน,กกง,พร.
052921,แผนกบัญชี กกง.พร.,Null,Null
052922,แผนกควบคุมการเบิกจ่าย กกง.พร.,Null,Null
052923,แผนกรับจ่ายเงิน กกง.พร.,Null,Null
052924,แผนกเงินรายได้ กกง.พร.,Null,Null
05293,กองสวัสดิการสุขภาพ,กสส.,พร.
052931,แผนกจัดการ กสส.พร.,Null,Null
052932,แผนกบริการสุขภาพ กสส.พร.,Null,Null
052933,แผนกสิทธิสวัสดิการสุขภาพ กสส.พร.,Null,Null
05294,กองเวชสารสนเทศ,กวส.,พร.
052941,แผนกสารสนเทศ กวส.พร.,Null,Null
052942,แผนกสถิติและประเมิน กวส.พร.,Null,Null
052943,แผนกข้อมูลข่าวสาร กวส.พร.,Null,Null
05295,กองเวชกรรมป้องกัน,กกป.,พร.
052951,แผนกนโยบายและแผน กกป.พร.,Null,Null
052952,แผนกปฏิบัติการ กกป.พร.,Null,Null
05296,กองเวชศาสตร์ใต้น้ำและการบิน,กวตบ.,พร.
052961,แผนกเวชศาสตร์ใต้น้ำ กวตบ.พร.,Null,Null
052962,แผนกเวชศาสตร์การบิน กวตบ.พร.,Null,Null
052963,แผนกปรับบรรยากาศ กวตบ.พร.,Null,Null
05297,กองส่งกำลังสายแพทย์,กสพ.,พร.
052971,แผนกเภสัชกรรมบริการ กสพ.พร.,Null,Null
052972,แผนกจัดหา กสพ.พร.,Null,Null
052973,แผนกคลัง กสพ.พร.,Null,Null
052974,แผนกควบคุม กสพ.พร.,Null,Null
05298,ศูนย์วิทยาการ,ศวก.,พร.
052981,กองวิทยาการ,กวก.,ศวก.พร.
052982,วิทยาลัยพยาบาลกองทัพเรือ,วพร.,ศวก.พร.
052983,โรงเรียนนาวิกเวชกิจ,รร.นวก.,ศวก.พร.
05299,โรงพยาบาลสมเด็จพระปิ่นเกล้า,รพ.สมเด็จพระปิ่นเกล้า,พร.
052991,กองอำนวยการ,กอ.,รพ.สมเด็จพระปิ่นเกล้า พร.
052992,กองการเงิน,กกง.,รพ.สมเด็จพระปิ่นเกล้า พร.
052993,ฝ่ายบริการสุขภาพ รพ.สมเด็จพระปิ่นเกล้า พร.,Null,Null
052994,ฝ่ายสนับสนุน รพ.สมเด็จพระปิ่นเกล้า พร.,Null,Null
